"artist","song","years_old_13","years_old_12","years_old_11","years_old_10","years_old_9","years_old_8","years_old_7","years_old_6","years_old_5","years_old_4","years_old_3","years_old_2","years_old_1","years_old_0","years_pre_birth_1","years_pre_birth_2","years_pre_birth_3","years_pre_birth_4","years_pre_birth_5","years_pre_birth_6","years_pre_birth_7","years_pre_birth_8","years_pre_birth_9","years_pre_birth_10"
"Boyz II Men","In The Still Of The Nite",0.536780417295123,0.316666666666667,0.458333333333333,0.387096774193548,0.264150943396226,0.369230769230769,0.21875,0.194029850746269,0.148148148148148,0.161290322580645,0.075,0.133333333333333,0.0416666666666667,0.0701754385964912,0.0222222222222222,0.0714285714285714,0.0204081632653061,0.0681818181818182,0.1,0.0208333333333333,0.0333333333333333,0,0,0
"Boyz II Men","It's So Hard To Say Goodbye To Yesterday",0.536879088366503,0.606060606060606,0.553571428571429,0.551724137931034,0.528301886792453,0.523809523809524,0.474576271186441,0.408450704225352,0.285714285714286,0.240506329113924,0.28125,0.22972972972973,0.148648648648649,0.142857142857143,0.174603174603175,0.0545454545454545,0.128205128205128,0.205128205128205,0.111111111111111,0.05,0.119047619047619,0.228571428571429,0.130434782608696,0
"Boyz II Men","Motownphilly",0.605153760967715,0.609756097560976,0.488888888888889,0.613636363636364,0.5,0.509090909090909,0.483333333333333,0.375,0.420289855072464,0.272727272727273,0.296875,0.25,0.164383561643836,0.277777777777778,0.186440677966102,0.210526315789474,0.075,0.111111111111111,0.0652173913043478,0.0769230769230769,0.125,0.121212121212121,0.133333333333333,0
"Boyz II Men","On Bended Knee",0.586866954807532,0.590837282780411,0.521806853582555,0.48159057437408,0.441964285714286,0.399182561307902,0.353780313837375,0.273209549071618,0.267882187938289,0.224780701754386,0.219047619047619,0.163380281690141,0.13728323699422,0.147744945567652,0.140625,0.119617224880383,0.128813559322034,0.113382899628253,0.138492871690428,0.119626168224299,0,0,0,0
"Boyz II Men","Water Runs Dry",0.5071844884298,0.574074074074074,0.492753623188406,0.573033707865168,0.377049180327869,0.230769230769231,0.236363636363636,0.25,0.147540983606557,0.19047619047619,0.137931034482759,0.0784313725490196,0.142857142857143,0.025,0.128205128205128,0.176470588235294,0.0384615384615385,0.0740740740740741,0.25,0,0,0,0,0
"Brandy and Monica","The Boy Is Mine",0.80676510989011,0.709677419354839,0.573529411764706,0.571428571428571,0.547945205479452,0.472222222222222,0.490566037735849,0.38,0.48,0.346153846153846,0.363636363636364,0.407407407407407,0.348837209302326,0.272727272727273,0.4,0.15625,0,0,0,0,0,0,0,0
"Brandy","Baby",0.307771867612293,0.382352941176471,0.317460317460317,0.375,0.161290322580645,0.166666666666667,0.145161290322581,0.135593220338983,0.0563380281690141,0.0892857142857143,0.135593220338983,0.17741935483871,0.0652173913043478,0.0652173913043478,0.0869565217391304,0.121212121212121,0.128205128205128,0.157894736842105,0.16,0,0,0,0,0
"Brandy","Have You Ever?",0.483771442675552,0.5,0.403508771929825,0.309090909090909,0.305084745762712,0.245614035087719,0.181818181818182,0.196428571428571,0.19047619047619,0.0545454545454545,0.166666666666667,0.116279069767442,0.162790697674419,0.241379310344828,0.3,0,0,0,0,0,0,0,0,0
"Brandy","Sittin' Up In My Room",0.317990752416982,0.338461538461538,0.327586206896552,0.193548387096774,0.17910447761194,0.115384615384615,0.0862068965517241,0.125,0.109090909090909,0.101694915254237,0.0909090909090909,0.0975609756097561,0.0689655172413793,0.0204081632653061,0.027027027027027,0.0952380952380952,0.103448275862069,0.28,0,0,0,0,0,0
"Brian McKnight","Back At One",0.585470963382956,0.578125,0.5875,0.482142857142857,0.443037974683544,0.4,0.433333333333333,0.203125,0.22,0.215686274509804,0.108695652173913,0.105263157894737,0.075,0.0833333333333333,0.142857142857143,0,0,0,0,0,0,0,0,0
